                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                    120,                 1.6638,                0.79246,                0.88282,              0.0076636,              0.0076636,              0.0076636,                0.94832,                0.52904,                0.73814,                0.43519,                 1.2765,                0.59928,                0.76059
                    121,                 1.6686,                0.79305,                0.88052,              0.0076438,              0.0076438,              0.0076438,                0.95002,                  0.528,                0.73827,                0.43512,                 1.2749,                0.59892,                0.76042
                    122,                  1.653,                0.78745,                0.87873,               0.007624,               0.007624,               0.007624,                0.94843,                0.53459,                 0.7408,                0.43444,                 1.2701,                 0.5949,                0.76003
                    123,                  1.677,                0.79817,                0.88156,              0.0076042,              0.0076042,              0.0076042,                0.94463,                0.53483,                0.74014,                0.43516,                 1.2694,                0.59534,                0.75981
                    124,                 1.6789,                0.79803,                0.88534,              0.0075844,              0.0075844,              0.0075844,                0.94462,                0.53893,                0.74204,                0.43616,                 1.2697,                0.59587,                 0.7594
                    125,                 1.6665,                0.78271,                0.87759,              0.0075646,              0.0075646,              0.0075646,                 0.9441,                0.53251,                0.73887,                0.43554,                 1.2663,                 0.5963,                0.75947
                    126,                 1.6576,                0.78586,                0.88197,              0.0075448,              0.0075448,              0.0075448,                0.94463,                0.53579,                0.74037,                 0.4339,                  1.266,                0.59482,                0.75916
                    127,                  1.661,                0.79254,                0.88306,               0.007525,               0.007525,               0.007525,                 0.9449,                0.53804,                0.74186,                0.43739,                 1.2653,                0.59558,                0.75917
                    128,                 1.6727,                  0.798,                0.88079,              0.0075052,              0.0075052,              0.0075052,                0.94892,                0.54004,                0.74442,                0.43677,                 1.2652,                0.59442,                0.75894
                    129,                 1.6457,                0.77499,                0.88091,              0.0074854,              0.0074854,              0.0074854,                0.94727,                0.54181,                0.74485,                0.43558,                 1.2658,                0.59403,                0.75875
                    130,                 1.6645,                0.78623,                0.87973,              0.0074656,              0.0074656,              0.0074656,                0.94491,                  0.539,                0.74304,                0.43757,                 1.2626,                0.59245,                0.75876
                    131,                 1.6474,                0.77921,                0.87863,              0.0074458,              0.0074458,              0.0074458,                0.94417,                0.53652,                 0.7412,                0.43797,                 1.2634,                0.59165,                0.75862
                    132,                 1.6623,                0.80495,                0.87592,               0.007426,               0.007426,               0.007426,                0.94938,                0.54357,                0.74604,                0.44099,                 1.2609,                0.59069,                0.75833
                    133,                 1.6633,                0.78751,                 0.8817,              0.0074062,              0.0074062,              0.0074062,                0.94625,                0.53538,                0.74097,                0.43891,                 1.2586,                0.59004,                0.75807
                    134,                 1.6605,                0.77949,                0.88307,              0.0073864,              0.0073864,              0.0073864,                 0.9438,                0.53016,                 0.7375,                0.43786,                 1.2572,                0.59134,                 0.7577
                    135,                 1.6603,                0.78223,                0.87909,              0.0073666,              0.0073666,              0.0073666,                0.94241,                0.51586,                0.73016,                0.43368,                 1.2547,                0.59212,                0.75761
                    136,                 1.6463,                0.77189,                0.87941,              0.0073468,              0.0073468,              0.0073468,                0.94565,                0.52944,                0.73763,                0.43945,                 1.2537,                0.59237,                0.75736
                    137,                  1.649,                0.78725,                0.87792,               0.007327,               0.007327,               0.007327,                0.94664,                0.52077,                 0.7335,                0.43758,                 1.2541,                0.59206,                0.75739
                    138,                 1.6534,                0.78445,                0.87319,              0.0073072,              0.0073072,              0.0073072,                 0.9445,                  0.519,                0.73241,                 0.4366,                 1.2512,                 0.5919,                0.75722
                    139,                 1.6505,                0.76796,                0.88164,              0.0072874,              0.0072874,              0.0072874,                0.94656,                0.54077,                0.74379,                0.44314,                 1.2491,                0.58988,                0.75715
                    140,                 1.6739,                0.78567,                0.87662,              0.0072676,              0.0072676,              0.0072676,                0.94755,                0.55434,                0.75062,                0.44767,                 1.2498,                0.58983,                0.75706
                    141,                  1.635,                0.76924,                0.87594,              0.0072478,              0.0072478,              0.0072478,                0.94827,                0.55891,                0.75238,                0.45172,                 1.2499,                0.58883,                  0.757
                    142,                 1.6389,                0.76849,                0.88213,               0.007228,               0.007228,               0.007228,                0.94936,                0.54709,                0.74667,                0.44838,                 1.2493,                0.58901,                0.75687
                    143,                  1.652,                0.78247,                0.87565,              0.0072082,              0.0072082,              0.0072082,                0.94984,                0.54758,                0.74763,                0.44795,                 1.2523,                0.58982,                0.75685
                    144,                 1.6447,                0.77509,                0.87632,              0.0071884,              0.0071884,              0.0071884,                0.94845,                0.53248,                0.73914,                0.43852,                 1.2532,                0.58965,                0.75669
                    145,                 1.6387,                0.75711,                0.87827,              0.0071686,              0.0071686,              0.0071686,                0.94779,                0.52557,                0.73566,                0.43759,                 1.2525,                0.58986,                 0.7568
                    146,                  1.638,                0.78548,                0.87694,              0.0071488,              0.0071488,              0.0071488,                0.94757,                0.52405,                0.73481,                0.43699,                  1.252,                0.59038,                0.75664
                    147,                 1.6333,                 0.7623,                0.87886,               0.007129,               0.007129,               0.007129,                0.94776,                 0.5312,                0.73873,                0.44075,                 1.2555,                 0.5906,                0.75665
                    148,                 1.6465,                0.76646,                0.87202,              0.0071092,              0.0071092,              0.0071092,                0.94944,                0.52992,                0.73849,                0.44248,                 1.2538,                0.59148,                0.75653
                    149,                 1.6194,                0.74297,                0.87196,              0.0070894,              0.0070894,              0.0070894,                0.94707,                0.52687,                0.73666,                0.43948,                 1.2535,                0.59211,                0.75659
                    150,                  1.622,                 0.7626,                0.87114,              0.0070696,              0.0070696,              0.0070696,                0.94688,                0.52349,                0.73466,                0.43891,                 1.2531,                0.59154,                0.75649
                    151,                 1.6471,                 0.7901,                0.87717,              0.0070498,              0.0070498,              0.0070498,                0.94641,                0.51997,                0.73295,                0.43774,                 1.2545,                0.59162,                0.75666
                    152,                 1.6492,                 0.7632,                0.87793,                0.00703,                0.00703,                0.00703,                0.94688,                0.52349,                0.73463,                0.44114,                  1.252,                 0.5915,                0.75658
                    153,                 1.6254,                0.76438,                0.87252,              0.0070102,              0.0070102,              0.0070102,                0.94593,                0.51554,                0.73045,                0.43672,                 1.2538,                0.59084,                0.75655
                    154,                 1.6245,                0.76749,                0.87825,              0.0069904,              0.0069904,              0.0069904,                0.94593,                0.51554,                0.73035,                 0.4363,                 1.2531,                0.59143,                0.75653
