1778229182.2468574,126.5,-12.0,130.4,134066,-12.0
1778229182.246865,163.5,-11.0,3690.4,134067,-11.0
1778229182.2468731,169.3,-12.0,140.3,134068,-12.0
1778229182.2468805,170.6,-6.0,2758.6,134069,-6.0
1778229186.2168703,193.1,-11.0,2366.3,134070,-11.0
1778229186.2168977,193.5,-6.0,162.8,134071,-6.0
1778229186.216906,205.1,-11.0,3960.2,134072,-11.0
1778229186.216913,210.0,-11.0,2256.4,134073,-11.0
1778229186.2169187,221.4,-11.0,3028.4,134074,-11.0
1778229186.2169251,235.1,-6.0,1979.1,134075,-6.0
1778229186.2169313,243.9,-12.0,2841.0,134076,-12.0
1778229186.2169366,282.0,-12.0,3133.3,134077,-12.0
1778229186.216942,287.3,-12.0,3992.7,134078,-12.0
1778229186.2169476,302.2,-12.0,2653.6,134079,-12.0
1778229186.2169528,305.6,-12.0,2648.6,134080,-12.0
1778229186.216958,307.5,-12.0,1941.6,134081,-12.0
1778229186.216963,313.0,-6.0,1739.3,134082,-6.0
1778229186.2169683,332.7,-11.0,2613.7,134083,-11.0
1778229186.2169733,339.6,-6.0,2031.6,134084,-6.0
1778229186.216979,23.8,-12.0,2503.7,134085,-12.0
1778229186.216984,27.7,-11.0,1422.0,134086,-11.0
1778229186.2169898,28.1,-6.0,2821.0,134087,-6.0
1778229186.2169948,29.1,-11.0,2506.2,134088,-11.0
1778229186.2170002,31.0,-11.0,2683.6,134089,-11.0
1778229186.2170053,60.5,-11.0,3170.8,134090,-11.0
1778229186.2170112,66.3,-12.0,3777.9,134091,-12.0
1778229186.2170162,84.2,-6.0,3935.3,134092,-6.0
1778229186.2170215,89.0,-11.0,1824.2,134093,-11.0
1778229186.2170262,97.1,-11.0,2958.4,134094,-11.0
1778229186.2170317,102.5,-6.0,4132.6,134095,-6.0
1778229186.2170367,107.3,-11.0,3785.4,134096,-11.0
1778229186.2170422,110.2,-12.0,2179.0,134097,-12.0
1778229186.2170472,138.5,-12.0,3268.2,134098,-12.0
1778229186.2170525,178.4,-11.0,140.3,134099,-11.0
1778229186.2170575,178.9,-6.0,132.8,134100,-6.0
1778229190.1831095,263.7,-6.0,4020.2,134101,-6.0
1778229190.183132,273.5,-6.0,3697.9,134102,-6.0
1778229190.1831396,288.3,-6.0,1894.2,134103,-6.0
1778229190.183146,310.9,-12.0,3020.9,134104,-12.0
1778229190.1831522,317.9,-11.0,3760.4,134105,-11.0
1778229190.1831577,337.4,-12.0,3303.2,134106,-12.0
1778229190.183163,348.2,-6.0,4037.7,134107,-6.0
1778229190.1831682,348.5,-12.0,1989.1,134108,-12.0
1778229190.1831734,349.6,-11.0,3882.8,134109,-11.0
